epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6701680421829224,1.1096426248550415,1e-05,0.761904776096344,0.6630390286445618
1,0.6859243512153625,1.0672905445098877,1e-05,0.7529761791229248,0.7116998434066772
2,0.6911764740943909,0.999179482460022,1e-05,0.7589285969734192,0.7145516276359558
3,0.7127100825309753,0.9594825506210327,1e-05,0.7648809552192688,0.7082762718200684
4,0.7274159789085388,0.9631957411766052,3e-06,0.7589285969734192,0.7114668488502502
5,0.7379201650619507,0.9022759795188904,3e-06,0.7648809552192688,0.7034045457839966
6,0.7400209903717041,0.9058667421340942,3e-06,0.761904776096344,0.6999263167381287
7,0.730567216873169,0.908734917640686,9.000001e-07,0.761904776096344,0.6987363696098328
8,0.7415966391563416,0.8982462286949158,9.000001e-07,0.7678571343421936,0.6942886710166931
9,0.7526260614395142,0.8829482197761536,9.000001e-07,0.7648809552192688,0.694089412689209
10,0.7415966391563416,0.876886248588562,2.7000004e-07,0.7648809552192688,0.6945155262947083
11,0.7274159789085388,0.9279159903526306,2.7000004e-07,0.7648809552192688,0.6926487684249878
12,0.7415966391563416,0.8727959394454956,2.7000004e-07,0.7678571343421936,0.6940237879753113
13,0.7373949289321899,0.8956977725028992,1e-07,0.7708333134651184,0.6911133527755737
14,0.7347689270973206,0.8979838490486145,1e-07,0.761904776096344,0.6960448622703552
