class,precision,recall,f1-score,support,class_accuracy
diwani_jali,0.6832298136645962,0.7857142857142857,0.7308970099667774,140.0,0.7857
tsuluts,0.7301587301587301,0.6571428571428571,0.6917293233082706,140.0,0.6571
diwani,0.8043478260869565,0.7928571428571428,0.7985611510791367,140.0,0.7929
naskhi,0.8074074074074075,0.7785714285714286,0.7927272727272727,140.0,0.7786
macro avg,0.7562859443294225,0.7535714285714286,0.7534786892703644,560.0
weighted avg,0.7562859443294225,0.7535714285714286,0.7534786892703644,560.0
